Prefix,Vessel Name,Engine serial no,Engine Brand,Engine model,Status,Non Conclusive Follow Up,Engine shaft power,Engine Type,Engine Mounting,Engine Fuel Used,GT,Length,Breadth,Depth,Dead Weight,Year Built,Owner Name
,84 DIVERS 1,73015550,CUMMINS,,Up to B20,,321, ,Inboard,Diesel,29,12.9,4.4,1.8,,1994,84 DIVERS PTE LTD
ST,A CRYSTAL,372311,CUMMINS,,Up to B20,,448, ,Inboard,Diesel,137,22,7.3,3.1,,2008,CRYSTAL MARITIME PTE LTD
ST,A RUBY,37250105,CUMMINS,,Up to B20,,447, ,Inboard,Diesel,145,21.9,7.3,3.2,,2010,ORION LOGISTICS PTE LTD
ST,ABADI 5,REA02316,CATERPILLAR,,"Up to B100, dealer consultation required",,0,Motor,Inboard,Diesel,182,23.3,8.1,3.6,,2005,CAPITOL SHIPPING PTE LTD
ST,ABADI 6,P:02337,CATERPILLAR,,"Up to B100, dealer consultation required",,632, ,Inboard,Diesel,248,24.2,8.5,3.8,0,2005,CAPITOL OFFSHORE PTE LTD
ST,ABADI 8,P:REA02340,CATERPILLAR,,"Up to B100, dealer consultation required",,632, ,Inboard,Diesel,248,24.5,8.6,3.8,,2005,CAPITOL OFFSHORE PTE LTD
,ABADI 9,P:REA02576,CATERPILLAR,,"Up to B100, dealer consultation required",,632, ,Inboard,Diesel,230,24.5,8.6,3.8,,2007,LIGHTMODE PTE LTD
SC,ABOARD 1,,,,,Not Conclusive,,,,,30,16,4.3,1.5,,2015,ABOARD FERRY PTE LTD
,ACHIEVE,G9161000089,SHANGHAI DIESEL,SC15G300CA2,Up to B30,,193,Motor,Inboard,Gas Oil,27,13,3.9,1.9,,2021,SINO TANKERS PTE LTD
SR,ACHIEVER I,60M11403,CATERPILLAR,3412C,"Up to B100, dealer consultation required",,538,Motor,Inboard,Diesel,229,25,11,3.3,,2007,SGS SINGAPORE DIVING PTE LTD
SR,AK 10,11994525,CUMMINS,,Up to B20,,298,Motor,Inboard,Diesel,58,17.7,4.8,2.4,,2009,ANTARA KOH PTE LTD
SC,AKM 1,12PC1-917842,ISUZU,,,Not Conclusive,250, ,Inboard,Diesel,38,15.3,4.3,2,,2011,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 2,1422D013656,WEI CHAI,WP12C450-21,Up to B30,,330, ,Inboard,Diesel,35,15.3,4,2,,2013,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 3,148695,ISUZU,,,Not Conclusive,250, ,Inboard,Diesel,33,14.5,4,2,,2014,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 5,781098,ISUZU,12PD1,,Not Conclusive,250,Motor,Inboard,Diesel,33,14.5,4,2,,2014,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 6,918424,ISUZU,,,Not Conclusive,250,Motor,Inboard,Diesel,33,14.5,4,2,,2015,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 7,779448,ISUZU,,,Not Conclusive,250,Motor,Inboard,Diesel,27,14.5,4,1.6,,2015,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 8,1500081,ISUZU,,,Not Conclusive,180,Motor,Inboard,Diesel,35,16.8,4,1.8,,2017,ANG KIAN SENG
SB,ALLI,1532,AKASAKA,,,Not Conclusive,2206,Motor,Inboard,Diesel,2630,86.5,14,7.2,3331,2008,ALLI SIRIUS TANKERS PTE LTD
SB,ALPHA,41102988,CUMMINS,,Up to B20,,814, ,Inboard,Diesel,1971,77.8,15,6.1,2997,2008,UNILINE TANKERS PTE LTD
ST,ALPHA JUPITER,60M06004,CATERPILLAR,,"Up to B100, dealer consultation required",,500,Motor,Inboard,Diesel,174,23.4,8,3.9,,1996,QSA MARINE AND LOGISTICS PTE LTD
SP,AMEROID,73002220,CUMMINS,,Up to B20,,321, ,Inboard,Diesel,14,12.2,3.9,1,,2001,DREW AMEROID (S) PTE LTD
SR,AMH 36 05,,,,,Not Conclusive,,,,,1438,67.3,19.5,4.3,,2006,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
SR,AMH 4504,,,,,Not Conclusive,,,,,1742,73.1,20.7,4.5,,2006,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
SR,ANAK LAUT III,116127,HINO,,,Not Conclusive,186, ,Inboard,Diesel,19,13.4,3.3,1.5,,1997,ISMAIL TAN ABDULLAH
,ANAK SERAYA,ILLEGIBLE,HINO,CY 360M,,Not Conclusive,260,Motor,Inboard,Diesel,37,15,4.3,2,,2006,APEX UNDERWATER SERVICES PTE LTD
,ANTARA KOH 118,,,,,Not Conclusive,,,,,260,35.1,12.1,2.4,,2006,ANTARA KOH PTE LTD
,ANTARA KOH 138,,,,,Not Conclusive,,,,,260,35.1,12.2,2.4,,2007,ANTARA KOH PTE LTD
,ANTARA KOH 18,,,,,Not Conclusive,,,,,927,52.7,18.3,3.7,,2001,ANTARA KOH PTE LTD
